name,adres,website,telefoon,reviews_count,reviews_average,latitude,longitude, search_keyword
eDifference Magento ecommerce | Dé Magento specialist van Midden-Nederland,"Achterveldseweg 22a, 3772 NB Barneveld",edifference.nl,0342 405 630,4,4.5,52.1345199,5.4029908
Ecomwise B.V. - Jouw B2B e-commerce specialist.,"Reykjavikstraat 1, 3543 KB Utrecht",ecomwise.com,030 227 0465,2,5.0,52.1345199,5.4029908
E-Commerce Center Europe B.V.,"Koperslager 8, 6422 PR Heerlen",ecommerce-centereurope.com,045 230 1777,6,4.2,52.1345199,5.4029908
Utrecht,"Arthur van Schendelstraat 650, 3511 MJ Utrecht",,030 307 2240,2,4.5,50.8425143,5.8610158
WeightWorld Nederland,"Keizersgracht 482, 1017 EG Amsterdam",weightworld.nl,,1,1.0,52.08217,4.9737283
Ecommerce Result,"Vredenburg 40, 3511 BD Utrecht",ecommerceresult.com,085 888 4750,0,0.0,52.0930955,4.9678535
Hoog Catharijne,"Godebaldkwartier 54, 3511 DX Utrecht",hoog-catharijne.klepierre.nl,,28452,4.3,52.0930955,4.9678535
Kaliber Interactive,"Zeedijk 19, 3513 DA Utrecht",kaliber.net,030 287 6400,16,4.9,52.100334,4.9673874
Tempo-Team,,,,17,2.6,52.100334,4.9673874
NCGC - Nederlands Centrum voor Geweldige Communicatie,"Het Tuinhuis, Prins Hendriklaan 73, 3721 AP Bilthoven",ncgc.nl,06 53117813,1,5.0,52.100334,4.9673874
Merkle Nederland,"Vasteland 38H, 3011 BM Rotterdam",merkle.com,020 519 1700,23,4.7,52.1264134,5.0558157
Digital Launch Nederland - Websites & Digital Marketing,"Korte Lijnbaanssteeg 1 - 4039, 1012 SL Amsterdam",digital-launch.nl,020 894 3188,0,0.0,52.3758759,4.7483036
Leadplaats Nederland,"Aime Bonnastraat 28, 4132 CD Vianen",leadplaats.nl,030 200 5004,3,5.0,52.3758759,4.7483036
Haarlem Marketing,"Stadhuis van Haarlem, Grote Markt 2, 2011 RD Haarlem",haarlemmarketing.nl,023 571 2262,16,4.1,51.9911318,4.9503547
Communicatie Centrum Goudriaan,"Zuidzijde 96, 2977 XC Goudriaan",,0183 854 500,0,0.0,51.9094348,4.7683822
Communicatie Centrum Goudriaan,"Zuidzijde 96, 2977 XC Goudriaan",,0183 854 500,16,4.9,51.9094348,4.7683822
Kaliber Interactive,"Biltstraat 24, 3572 BB Utrecht",tempo-team.nl,030 272 7200,17,2.6,52.100334,4.9673874
Tempo-Team,"Biltstraat 24, 3572 BB Utrecht",tempo-team.nl,030 272 7200,17,2.6,52.100334,4.9673874
NCGC - Nederlands Centrum voor Geweldige Communicatie,"Het Tuinhuis, Prins Hendriklaan 73, 3721 AP Bilthoven",ncgc.nl,06 53117813,1,5.0,52.1264134,5.0558157
Merkle Nederland,"Vasteland 38H, 3011 BM Rotterdam",merkle.com,020 519 1700,23,4.7,51.9118458,4.3360131
Digital Launch Nederland - Websites & Digital Marketing,"Korte Lijnbaanssteeg 1 - 4039, 1012 SL Amsterdam",digital-launch.nl,020 894 3188,3,5.0,52.3758759,4.7483036
Leadplaats Nederland,"Aime Bonnastraat 28, 4132 CD Vianen",haarlemmarketing.nl,023 571 2262,16,4.1,52.3813779,4.490815
Haarlem Marketing,"Stadhuis van Haarlem, Grote Markt 2, 2011 RD Haarlem",haarlemmarketing.nl,0183 854 500,0,0.0,51.9094348,4.7683822
Digital Marketing Nederland,"Boekweitstraat 79, 2153 GK Nieuw-Vennep",,,4,5.0,51.9094348,4.7683822
PRminded | LinkedIn expert voor zakelijk Nederland,"Haven 9, 4811 WK Breda",pr-minded.nl,06 41744676,30,4.8,52.2662539,4.5070162
Adbreak BV Nederland,"Stationsplein 45, A4.004, 3013 AK Rotterdam",adbreak.com,010 808 0872,3,5.0,51.5888765,4.6282313
Dutch Marketing Center,"Ten Harmsenstraat 17, 2406 TS Alphen aan den Rijn",,0172 764 444,0,0.0,52.1362445,4.5208598
DEPT®,"Delftseplein 27N, 3013 AA Rotterdam",deptagency.com,088 040 0888,79,4.6,52.1362445,4.5208598
Ctrl+N,"Twijnstraat, 3511 ZJ Utrecht",,06 20987842,0,0.0,52.082726,4.9791321
P,"Oudegracht 334H, 3511 PM Utrecht",,030 877 6202,0,0.0,52.082726,4.9791321
GMNL,"Blaak 333, 3011 GB Rotterdam",gmnl.nl,085 303 0252,120,4.9,52.082726,4.9791321
GMNL,"Blaak 333, 3011 GB Rotterdam",gmnl.nl,085 303 0252,120,4.9,51.9191931,4.341337
Kaliber Interactive,"Zeedijk 19, 3513 DA Utrecht",tempo-team.nl,030 272 7200,17,2.6,52.100334,4.9673874
Tempo-Team,"Biltstraat 24, 3572 BB Utrecht",tempo-team.nl,030 272 7200,23,2.6,52.100334,4.9673874
Leadplaats Nederland,"Aime Bonnastraat 28, 4132 CD Vianen",leadplaats.nl,030 200 5004,3,5.0,51.9911318,4.9503547
Leadplaats Nederland,"Aime Bonnastraat 28, 4132 CD Vianen",leadplaats.nl,0183 854 500,0,0.0,51.9094348,4.7683822
Communicatie Centrum Goudriaan,"Zuidzijde 96, 2977 XC Goudriaan",,0183 854 500,4,5.0,52.2662539,4.5070162
Digital Marketing Nederland,"Boekweitstraat 79, 2153 GK Nieuw-Vennep",,,4,5.0,52.2662539,4.5070162
PRminded | LinkedIn expert voor zakelijk Nederland,"Haven 9, 4811 WK Breda",pr-minded.nl,06 41744676,30,4.8,51.5888765,4.6282313
Adbreak BV Nederland,"Stationsplein 45, A4.004, 3013 AK Rotterdam",adbreak.com,010 808 0872,3,5.0,51.923336,4.3249564
Dutch Marketing Center,"Ten Harmsenstraat 17, 2406 TS Alphen aan den Rijn",,0172 764 444,79,4.6,52.1362445,4.5208598
DEPT®,"Delftseplein 27N, 3013 AA Rotterdam",deptagency.com,088 040 0888,79,4.6,51.924957,4.3285204
Ctrl+N,"Oudegracht 334H, 3511 PM Utrecht",,030 877 6202,0,0.0,52.082726,4.9791321
P,"Oudegracht 334H, 3511 PM Utrecht",,030 877 6202,120,4.9,52.082726,4.9791321
Online ID,"Bogert 28, 5612 LZ Eindhoven",online-id.nl,040 833 0001,21,5.0,51.9191931,4.341337
Mobiel Centre Marktonderzoek B.V.,"Voor Clarenburg 6-BIS, 3511 JE Utrecht",mobielcentre.nl,036 531 4604,3,4.3,51.4440807,5.3286186
IKONS Nederland,"Stationsweg 19, 5211 TV 's-Hertogenbosch",ikons.nl,040 304 6092,17,4.8,52.0907859,4.9720571
Nederlands Centrum voor Geweldige Communicatie,"De Klencke 99c, 1083 HH Amsterdam",ncgc.nl,,0,0.0,52.3334872,4.7408675
GroupM,"Emmasingel 11, 5611 AZ Eindhoven",groupm.com,040 235 2121,54,4.7,52.3334872,4.7408675
Ministry of Marketing,"Arthur van Schendelstraat 650, 3511 MJ Utrecht",ministryofmarketing.nl,06 34855915,2,5.0,51.4402308,5.3314972
Ministry of Marketing,"Arthur van Schendelstraat 650, 3511 MJ Utrecht",ministryofmarketing.nl,06 34855915,2,5.0,52.0823329,4.9733463
Utrecht,"Arthur van Schendelstraat 650, 3511 MJ Utrecht",,030 307 2240,2,4.5,51.990643,4.7031194
eDifference Magento ecommerce | Dé Magento specialist van Midden-Nederland,"Achterveldseweg 22a, 3772 NB Barneveld",edifference.nl,0342 405 630,4,4.5,51.990643,4.7031194
Ecomwise B.V. - Jouw B2B e-commerce specialist.,"Reykjavikstraat 1, 3543 KB Utrecht",ecomwise.com,030 227 0465,2,5.0,51.990643,4.7031194
E-Commerce in Holland,"Specerijenhof 13, 3063 BX Rotterdam",,06 22555546,0,0.0,51.9187102,3.9381544
Ecommerce Result,"Vredenburg 40, 3511 BD Utrecht",ecommerceresult.com,085 888 4750,0,0.0,52.0930955,4.5352669
WeightWorld Nederland,"Keizersgracht 482, 1017 EG Amsterdam",weightworld.nl,,1,1.0,52.0930955,4.5352669
Topcentrum E-Commerce,"Nervistraat 2, 8013 RS Zwolle",topcentrum.nl,06 27281955,0,0.0,52.4903765,5.5622626
Topcentrum E-Commerce,"Nervistraat 2, 8013 RS Zwolle",topcentrum.nl,06 27281955,2,4.5,52.4903765,5.5622626
eDifference Magento ecommerce | Dé Magento specialist van Midden-Nederland,"Achterveldseweg 22a, 3772 NB Barneveld",edifference.nl,0342 405 630,4,4.5,52.08217,4.5411417
eDifference Magento ecommerce | Dé Magento specialist van Midden-Nederland,"Achterveldseweg 22a, 3772 NB Barneveld",ecomwise.com,030 227 0465,2,5.0,52.1345199,4.9704042
E-Commerce in Holland,"Specerijenhof 13, 3063 BX Rotterdam",,06 22555546,0,0.0,51.9187102,3.9381544
Ecommerce Result,"Vredenburg 40, 3511 BD Utrecht",ecommerceresult.com,085 888 4750,1,1.0,52.0930955,4.5352669
WeightWorld Nederland,"Keizersgracht 482, 1017 EG Amsterdam",weightworld.nl,,0,0.0,52.4903765,5.5622626
Stuurlui,"Nijverheidsweg 16 G, 3534 AM Utrecht",stuurlui.nl,030 227 4000,126,4.8,52.103175,4.9344627
Like Honey | Growth & AI Marketing,"Schaverijstraat 11, 3534 AS Utrecht",likehoney.nl,030 700 9714,6,5.0,52.103175,4.9344627
Logistiek en E-commerce 2017,"Beneluxlaan 2C, 3446 GR Woerden",logistiekenecommerce.nl,0348 485 082,0,0.0,52.0852748,4.3215312
Hoog Catharijne,"Godebaldkwartier 54, 3511 DX Utrecht",hoog-catharijne.klepierre.nl,,28452,4.3,52.0852748,4.3215312
Yep. E-commerce Marketing,"Lange Nieuwstraat 66, 3512 PL Utrecht",yep.marketing,030 227 0393,0,0.0,52.103175,4.9344627
"MondoMarketing Online Marketing bureau Utrecht o.a. SEA, SEO","Europalaan 2B - G1.14, 3526 KS Utrecht",mondomarketing.nl,085 060 1066,44,4.8,52.103175,4.9344627
TIC Online Marketing,"Europalaan 2, 3526 KS Utrecht",ticonlinemarketing.nl,030 207 2770,35,4.8,52.103175,4.9344627
eDifference Magento ecommerce | Dé Magento specialist van Midden-Nederland,"Achterveldseweg 22a, 3772 NB Barneveld",edifference.nl,0342 405 630,4,4.5,52.103175,4.9344627
Online Commerce Group B.V.,"Plettenburg-Zuid, Veluwehaven 1, 3433 PW Nieuwegein",,030 737 0008,0,0.0,52.0852748,4.3215312
Chase Marketing | Online Marketing Bureau Amsterdam,"Weesperstraat 394, 1018 DN Amsterdam",chasemarketing.nl,020 244 2580,52,4.5,52.1345199,5.4029908
Chase Marketing | Online Marketing Bureau Amsterdam,"Weesperstraat 394, 1018 DN Amsterdam",chasemarketing.nl,020 244 2580,126,4.8,52.3637183,4.7620515
Stuurlui,"Schaverijstraat 11, 3534 AS Utrecht",likehoney.nl,030 700 9714,6,5.0,52.103175,4.9344627
