name,adres,website,telefoon,reviews_count,reviews_average,latitude,longitude,search_keyword
Unknown,N/A,N/A,N/A,0,0.0,,,"Nederland, Nijmegen, Universities"
Nijmegen,N/A,ru.nl,N/A,3,4.3,51.8425762,5.7505833,"Nederland, Nijmegen, Universities"
Canisius College,N/A,canisiuscollege.nl,N/A,56,3.8,51.8425762,5.7505833,"Nederland, Nijmegen, Universities"
Unknown,N/A,N/A,N/A,0,0.0,51.8425762,5.7505833,"Nederland, Nijmegen, Hotels"
Bastion Hotel,N/A,bastionhotels.com,N/A,770,3.9,51.8308368,5.6766367,"Nederland, Nijmegen, Hotels"
Van der Valk Hotel Nijmegen-Lent,N/A,valknijmegen.nl,N/A,3842,4.5,51.8308368,5.6766367,"Nederland, Nijmegen, Hotels"
Unknown,N/A,N/A,N/A,1032,4.6,51.8425762,5.7505833,"Nederland, Nijmegen-Midden, Universities"
Radboud Universiteit,N/A,ru.nl,N/A,1032,4.6,51.8425762,5.7505833,"Nederland, Nijmegen-Midden, Universities"
Huygensgebouw,N/A,unitednetherlands.org,N/A,1,5.0,51.8425762,5.7505833,"Nederland, Nijmegen-Midden, Universities"
Unknown,N/A,N/A,N/A,0,0.0,51.8425762,5.7505833,"Nederland, Nijmegen-Midden, Hotels"
Bastion Hotel,N/A,bastionhotels.com,N/A,770,3.9,51.8425186,5.7505832,"Nederland, Nijmegen-Midden, Hotels"
Sanadome Hotel & Spa Nijmegen,N/A,sanadome.nl,N/A,3266,3.9,51.8308368,5.6766367,"Nederland, Nijmegen-Midden, Hotels"
Unknown,N/A,N/A,N/A,0,0.0,51.8307792,5.6766366,"Nederland, Nijmegen-Nieuw-West, Universities"
Unknown,N/A,han.nl,N/A,50,3.9,51.8307792,5.6766366,"Nederland, Nijmegen-Nieuw-West, Universities"
Yuverta mbo Nijmegen,N/A,yuverta.nl,N/A,27,3.1,51.8422352,5.537659,"Nederland, Nijmegen-Nieuw-West, Universities"
Unknown,N/A,N/A,N/A,770,3.9,51.8416898,5.8043051,"Nederland, Nijmegen-Nieuw-West, Hotels"
Bastion Hotel,N/A,bastionhotels.com,N/A,770,3.9,51.8416898,5.8043051,"Nederland, Nijmegen-Nieuw-West, Hotels"
Van der Valk Hotel Nijmegen-Lent,N/A,valknijmegen.nl,N/A,3842,4.5,51.8630391,5.7886894,"Nederland, Nijmegen-Nieuw-West, Hotels"
Unknown,N/A,N/A,N/A,0,0.0,51.8630247,5.7886894,"Nederland, Nijmegen-Noord, Universities"
Radboud Universiteit,N/A,ru.nl,N/A,1032,4.6,51.8630247,5.7886894,"Nederland, Nijmegen-Noord, Universities"
Unknown,N/A,N/A,N/A,0,0.0,51.8657721,5.7858662,"Nederland, Nijmegen-Noord, Hotels"
Bastion Hotel,N/A,bastionhotels.com,N/A,770,3.9,51.8220293,5.7914846,"Nederland, Nijmegen-Noord, Hotels"
Hotel Courage Waalkade,N/A,hotelcourage.nl,N/A,494,3.9,51.8308368,5.7487345,"Nederland, Nijmegen-Noord, Hotels"
Unknown,N/A,N/A,N/A,0,0.0,51.8308224,5.7487345,"Nederland, Nijmegen-Oost, Universities"
REA College Nijmegen,N/A,reacollegenederland.nl,N/A,36,4.1,51.8263097,5.7155708,"Nederland, Nijmegen-Oost, Universities"
Unknown,N/A,N/A,N/A,0,0.0,51.8261873,5.5919637,"Nederland, Nijmegen-Oost, Hotels"
Bastion Hotel,N/A,bastionhotels.com,N/A,770,3.9,51.8261873,5.5919637,"Nederland, Nijmegen-Oost, Hotels"
"The Rebyl, Nijmegen, a Tribute Portfolio Hotel",N/A,marriott.com,N/A,47,4.2,51.8261873,5.5919637,"Nederland, Nijmegen-Oost, Hotels"
Unknown,N/A,N/A,N/A,0,0.0,51.825957,5.591963,"Nederland, Nijmegen-Oud-West, Universities"
Radboud Universiteit,N/A,ru.nl,N/A,1032,4.6,51.825957,5.591963,"Nederland, Nijmegen-Oud-West, Universities"
Unknown,N/A,N/A,N/A,0,0.0,51.825957,5.591963,"Nederland, Nijmegen-Oud-West, Hotels"
Bastion Hotel,N/A,bastionhotels.com,N/A,770,3.9,51.8431197,5.8051808,"Nederland, Nijmegen-Oud-West, Hotels"
Mercure Hotel,N/A,mercure-hotel-nijmegen-center.nl,N/A,1210,4.3,51.8308368,5.7487345,"Nederland, Nijmegen-Oud-West, Hotels"
Unknown,N/A,N/A,N/A,1032,4.6,51.8308224,5.7487345,"Nederland, Nijmegen-Zuid, Universities"
Radboud Universiteit,N/A,ru.nl,N/A,23,4.7,51.8308224,5.7487345,"Nederland, Nijmegen-Zuid, Universities"
Unknown,N/A,N/A,N/A,0,0.0,51.8166775,5.7928843,"Nederland, Nijmegen-Zuid, Hotels"
Bastion Hotel,N/A,bastionhotels.com,N/A,770,3.9,51.8166631,5.7928843,"Nederland, Nijmegen-Zuid, Hotels"
Sanadome Hotel & Spa Nijmegen,N/A,sanadome.nl,N/A,3266,3.9,51.8308368,5.7487345,"Nederland, Nijmegen-Zuid, Hotels"
Unknown,N/A,N/A,N/A,0,0.0,52.0697875,4.4992658,"Nederland, Nijmegen, Logistics Companies"
XPO Transport Solutions Netherlands B.V.,N/A,europe.xpo.com,N/A,8,4.4,52.0697875,4.4992658,"Nederland, Nijmegen, Logistics Companies"
XPO Transport Solutions Netherlands B.V.,N/A,cornelissen.nl,N/A,129,4.0,52.0697875,4.4992658,"Nederland, Nijmegen, Logistics Companies"
Micodo Transport BV,N/A,micodo.nl,N/A,86,4.0,52.0697875,4.4992658,"Nederland, Nijmegen, Logistics Companies"
Unknown,N/A,N/A,N/A,0,0.0,51.8481762,5.7142951,"Nederland, Nijmegen, Car Dealerships"
"Oostendorp Toyota, Suzuki Nijmegen",N/A,oostendorp-autogroep.nl,N/A,388,4.5,51.8481762,5.7142951,"Nederland, Nijmegen, Car Dealerships"
Unknown,N/A,N/A,N/A,35,3.9,51.8481186,5.7142949,"Nederland, Nijmegen-Midden, Logistics Companies"
Broekman Logistics B.V.,N/A,broekmanlogistics.com,N/A,35,3.9,51.8481186,5.7142949,"Nederland, Nijmegen-Midden, Logistics Companies"
Broekman Logistics B.V.,N/A,mhuismanlogistics.eu,N/A,57,4.5,51.8481186,5.7142949,"Nederland, Nijmegen-Midden, Logistics Companies"
Yormax Logistic Services Bv,N/A,yormax.nl,N/A,0,0.0,51.8481186,5.7142949,"Nederland, Nijmegen-Midden, Logistics Companies"
Unknown,N/A,N/A,N/A,388,4.5,51.8480611,5.7142948,"Nederland, Nijmegen-Midden, Car Dealerships"
"Oostendorp Toyota, Suzuki Nijmegen",N/A,oostendorp-autogroep.nl,N/A,388,4.5,51.8480611,5.7142948,"Nederland, Nijmegen-Midden, Car Dealerships"
Unknown,N/A,N/A,N/A,35,3.9,51.8459591,5.8021031,"Nederland, Nijmegen-Nieuw-West, Logistics Companies"
Broekman Logistics B.V.,N/A,broekmanlogistics.com,N/A,35,3.9,51.8459591,5.8021031,"Nederland, Nijmegen-Nieuw-West, Logistics Companies"
Broekman Logistics B.V.,N/A,vortex-logistics.com,N/A,71,4.1,51.8466497,5.7703222,"Nederland, Nijmegen-Nieuw-West, Logistics Companies"
Vortex Logistics,N/A,bctn.nl,N/A,87,4.6,51.8466497,5.7703222,"Nederland, Nijmegen-Nieuw-West, Logistics Companies"
Unknown,N/A,N/A,N/A,0,0.0,51.8466461,5.7703222,"Nederland, Nijmegen-Nieuw-West, Car Dealerships"
Auto Traa BV,N/A,auto-traa.nl,N/A,184,4.5,51.8466461,5.7703222,"Nederland, Nijmegen-Nieuw-West, Car Dealerships"
Autohuis Nijmegen | Bekijk ons gevarieerde aanbod occasions in Nijmegen,N/A,autohuisnijmegen.nl,N/A,83,4.9,51.8404126,5.7808837,"Nederland, Nijmegen-Nieuw-West, Car Dealerships"
Unknown,N/A,N/A,N/A,35,0.0,51.840409,5.7808837,"Nederland, Nijmegen-Noord, Logistics Companies"
Broekman Logistics B.V.,N/A,broekmanlogistics.com,N/A,35,3.9,51.840409,5.7808837,"Nederland, Nijmegen-Noord, Logistics Companies"
Unknown,N/A,N/A,N/A,388,0.0,51.8404054,5.7808837,"Nederland, Nijmegen-Noord, Car Dealerships"
"Oostendorp Toyota, Suzuki Nijmegen",N/A,oostendorp-autogroep.nl,N/A,388,4.5,51.8404054,5.7808837,"Nederland, Nijmegen-Noord, Car Dealerships"
Unknown,N/A,N/A,N/A,35,0.0,51.840521,5.7848865,"Nederland, Nijmegen-Oost, Logistics Companies"
Broekman Logistics B.V.,N/A,broekmanlogistics.com,N/A,35,3.9,51.840521,5.7848865,"Nederland, Nijmegen-Oost, Logistics Companies"
