name,adres,website,telefoon,reviews_count,reviews_average,latitude,longitude
Bistro De Bok,"In de Betouwstraat 14, 6511 GC Nijmegen",bistrodebok.nl,024 322 5540,715,4.6,51.8248789,5.7946793
Restaurant...bij de buren,"Irene Vorrinkstraat 401, 6535 NB Nijmegen",zzgzorggroep.nl,024 221 1514,79,4.3,51.8248789,5.7946793
Food2Go Nijmegen,"Couwenbergstraat 150A, 6535 RX Nijmegen",food2gonijmegen.nl,024 679 3563,50,4.8,51.8248789,5.7946793
Chinees-Indisch Restaurant De Roos,"Binnenhof 5, 6535 TM Nijmegen",chineesderoos.nl,024 355 3329,359,4.4,51.8074215,5.7521311
Café Hatert,"Couwenbergstraat 133, 6535 RX Nijmegen",,06 24257841,38,4.0,51.8074215,5.7521311
Plek Nijmegen,"Hatertseweg 23 A, 6533 AB Nijmegen",pleknijmegen.nl,024 737 0133,457,4.4,51.8074215,5.7521311
Bistro De Bok,"In de Betouwstraat 14, 6511 GC Nijmegen",bistrodebok.nl,024 322 5540,715,4.6,51.8074215,5.7521311
Restaurant...bij de buren,"Irene Vorrinkstraat 401, 6535 NB Nijmegen",zzgzorggroep.nl,024 221 1514,79,4.3,51.843641,5.7883092
Food2Go Nijmegen,"Couwenbergstraat 150A, 6535 RX Nijmegen",food2gonijmegen.nl,024 679 3563,50,4.8,51.843641,5.7883092
Café Hatert,"Couwenbergstraat 133, 6535 RX Nijmegen",,06 24257841,38,4.0,51.8074215,5.7521311
Café Eten en Drinken Lent,"Lentse Schoolstraat 61, 6663 CP Nijmegen",cafe-etenendrinken.nl,024 381 1501,676,4.3,51.862919,5.8450196
Moeke Nijmegen,"Willem van Arenbergstraat 6, 6515 AT Nijmegen",moeke.nl,024 820 0900,929,4.2,51.862919,5.8450196
Osteria Pomodoro,"Pastoor van Laakstraat 54, 6663 CB Nijmegen",osteriapomodoro.nl,024 322 4506,879,4.4,51.8797087,5.8269117
Café Restaurant Stroom Lent,"Vossenpelssestraat 16, 6663 KC Nijmegen",stroomlent.nl,024 782 0533,711,4.4,51.8797087,5.8269117
Cafe De Zon,"Oosterhoutsedijk 16, 6663 KS Nijmegen",cafedezonlent.nl,06 21350167,511,4.5,51.8797087,5.8269117
